id,name,workers,age,salary
NV,クックパッド(株),147 ,31.3 ,7180 
NV,ヤフー(株),4607 ,34.3 ,6770 
NV,(株)サイバーエージェント,1494 ,30.3 ,6659 
NV,(株)カカクコム,491 ,33.5 ,6640 
NV,楽天(株),3762 ,32.5 ,6520 
NV,(株)駅探,73 ,37.8 ,6300 
NV,ネットイヤーグループ(株),159 ,35.8 ,6110 
NV,(株)ネクスト,463 ,33.4 ,6030 
NV,(株)ドワンゴ,438 ,32.3 ,5740 
NV,エキサイト(株),215 ,34.0 ,5710 
NV,ＧＭＯペイメントゲートウェイ(株),194 ,34.1 ,5710 
NV,(株)リブセンス,91 ,30.5 ,5680 
NV,(株)一休,111 ,31.8 ,5570 
NV,(株)デジタルガレージ,244 ,33.4 ,5520 
NV,(株)オウケイウェイヴ,157 ,34.1 ,5490 
NV,(株)メンバーズ,240 ,33.8 ,5410 
NV,(株)カービュー,161 ,32.1 ,5140 
NV,(株)アイスタイル,184 ,29.2 ,5100 
NV,ジョルダン(株),136 ,36.0 ,5090 
NV,トレンダーズ(株),75 ,29.6 ,5010 
NV,(株)ぐるなび,1316 ,33.9 ,5000 
NV,(株)エニグモ,40 ,31.9 ,4820 
NV,(株)ＳｍａｒｔＥｂｏｏｋ．Ｃｏｍ,50 ,36.0 ,4790 
NV,(株)Ｅストアー,133 ,33.0 ,4700 
NV,(株)パピレス,58 ,31.1 ,4635 
NV,比較．ｃｏｍ(株),36 ,31.0 ,4190 
SM,グリー(株),1204 ,31.2 ,7440 
SM,(株)ディー・エヌ・エー,1045 ,32.1 ,7186 
SM,(株)ミクシィ,272 ,31.5 ,5759 
MG,ＫＤＤＩ(株),10739 ,41.4 ,9397 
MG,任天堂(株),5213 ,36.8 ,8680 
MG,(株)ＮＴＴドコモ,10903 ,39.2 ,8160 
MG,コナミ(株),91 ,37.7 ,7320 
MG,ガンホー・オンライン・エンターテイメント(株),315 ,35.7 ,6520 
MG,(株)コーエーテクモホールディングス,65 ,37.9 ,6290 
MG,(株)フェイス,123 ,37.5 ,6200 
MG,(株)コロプラ,340 ,30.2 ,6170 
MG,(株)ｅｎｉｓｈ,154 ,32.0 ,5970 
MG,(株)モブキャスト,115 ,34.6 ,5800 
MG,(株)ドリコム,227 ,31.7 ,5740 
MG,(株)ユークス,189 ,33.6 ,5650 
MG,(株)ガイアックス,96 ,31.7 ,5550 
MG,(株)カプコン,1951 ,35.8 ,5550 
MG,日本ファルコム(株),49 ,33.7 ,5240 
MG,クルーズ(株),469 ,30.9 ,5170 
MG,(株)ネクソン,266 ,32.4 ,4990 
MG,(株)ボルテージ,262 ,27.4 ,4840 
MG,(株)ケイブ,134 ,34.8 ,4830 
MG,ＫＬａｂ(株),547 ,30.4 ,4790 
MG,(株)ザッパラス,182 ,31.5 ,4630 
MG,サイバーステップ(株),117 ,27.7 ,4580 
MG,(株)エイチーム,297 ,30.0 ,4550 
MG,(株)オルトプラス,148 ,29.7 ,4400 
MG,(株)アエリア,29 ,36.0 ,4370 
MG,(株)エイティング,223 ,33.2 ,4100 
MG,(株)日本一ソフトウェア,100 ,30.8 ,3240 
SE,(株)アイレップ,316 ,31.4 ,5040 
SE,(株)フルスピード,177 ,29.8 ,4850 
SE,アウンコンサルティング(株),37 ,31.6 ,3615 
OM,アイティメディア(株),175 ,36.9 ,6540 
OM,(株)イーブックイニシアティブジャパン,48 ,35.5 ,5520 
OM,(株)オールアバウト,153 ,34.7 ,5220 
OM,(株)キャリアデザインセンター,312 ,28.8 ,4912 
AF,バリューコマース(株),199 ,34.9 ,5920 
AF,(株)ファンコミュニケーションズ,204 ,32.1 ,5390 
AF,(株)インタースペース,234 ,30.8 ,5290 
AF,(株)アドウェイズ,380 ,30.6 ,5110 